CK,Tran,San,TC,Giamua3,KLmua3,Giamua2,KLmua2,Giamua1,KLmua1,Giakhop,Khoiluongkhoplenh,Thaydoi,Phantramthaydoi,Giaban1,KLban1,Giaban2,KLban2,Giaban3,KLban3,TongKL,Caonhat,Thapnhat,DTNNmua,DTNNban,DTNNdu
AAA,17.4,15.2,16.3,16.15,"118,300",16.2,"40,100",16.25,"4,300",16.3,"1,000",0.00,0.0%,16.3,"54,200",16.35,"90,500",16.4,"138,200","2,617,400",16.5,16.2,"7,600","271,400","284,691,448"
AAM,10.8,9.4,10.1,10.25,"1,200",10.3,"1,000",10.35,"2,400",10.8,100,0.70,6.9%,10.8,300,,,,,"1,100",10.8,10.3,,,"5,940,673"
AAT,18.8,16.4,17.6,17.4,"6,900",17.5,"14,800",17.6,500,17.65,500,0.05,0.3%,17.65,"18,200",17.7,"15,500",17.75,"17,500","584,200",17.85,17.1,,,"17,042,800"
ABS,20.7,18,19.35,19.45,"6,600",19.5,"1,600",19.6,800,19.6,200,0.25,1.3%,19.65,"1,200",19.7,"14,900",19.75,"2,800","273,200",19.8,19,,,
ACB,35.45,30.85,33.15,33.35,"47,400",33.4,"179,000",33.45,"29,900",33.45,200,0.30,0.9%,33.5,"241,400",33.55,"116,200",33.6,"258,800","3,809,600",33.6,33.3,100,"3,400",
ACC,14.65,12.75,13.7,13.65,300,13.7,500,13.75,"3,500",13.8,500,0.10,0.7%,13.8,500,13.9,"1,400",13.95,"2,700","28,000",13.8,13.6,,,"11,089,973"
ACL,12.4,10.8,11.6,11.35,300,11.4,"2,400",11.45,"1,900",11.5,100,-0.10,-0.9%,11.65,"1,500",11.7,"3,000",11.75,"1,100","19,400",11.7,11.5,,,"18,185,115"
ADG,49.2,42.8,46,46.4,"5,000",46.5,"3,300",46.6,"2,200",46.9,"1,200",0.90,2.0%,46.9,"1,900",47,"3,500",47.1,"4,900","123,500",47,46,"1,000",,"4,169,071"
ADS,30.9,26.9,28.9,29.55,"35,200",29.6,600,29.65,"1,800",29.7,"2,000",0.80,2.8%,29.8,"8,200",29.85,"2,000",29.9,"18,600","385,400",29.95,28.6,"10,400",500,"13,750,418"
AGG,59.9,52.1,56,55.5,"43,000",55.6,"33,100",55.7,"29,400",55.7,200,-0.30,-0.5%,55.8,"22,000",55.9,"9,300",56,"106,100","1,078,500",56,55,700,"86,700","28,899,352"
